keys,de,en
RECON_Q1_KONTAKT_TITLE,Vertrauter Kontakt (IT-Firma in Kontaktliste),Trusted contact (IT firm in contact list)
RECON_Q1_KONTAKT_AUTHOR,Hannes Zinsli · CEO bei FinTech AG,Hannes Zinsli · CEO at FinTech AG
RECON_Q1_KONTAKT_BODY,"Gemeinsame Kontakte (3): ⟦Bit & Bürli GmbH⟧, Handelskammer Zürich, Swiss Finance Network.","Shared contacts (3): ⟦Bit & Bürli GmbH⟧, Zurich Chamber of Commerce, Swiss Finance Network."
RECON_Q2A_SONNTAGS_TITLE,Sonntags-Post: Chef antwortet spätnachts,Sunday post: boss replies late at night
RECON_Q2A_SONNTAGS_AUTHOR,Nadja Tellenbach · Rechnungswesen bei FinTech AG,Nadja Tellenbach · Accounting at FinTech AG
RECON_Q2A_SONNTAGS_BODY,"Kleiner Realitätscheck fürs Wochenende. Ich schreibe dem Chef ⟦am Sonntag um halb zwölf nachts eine Frage zum Quartalsabschluss, und keine zwei Minuten später habe ich seine Antwort⟧. Der Mann schläft nie. Nächste Woche zwinge ich ihn zu einer Mittagspause.","A little reality check for the weekend. I message the boss ⟦on a Sunday at half past eleven at night with a question about the quarterly close, and less than two minutes later I have his answer⟧. The man never sleeps. Next week I am forcing him to take a lunch break."
RECON_Q2B_NEUE_IT_TITLE,Post: Wechsel zur neuen IT-Firma,Post: switching to the new IT firm
RECON_Q2B_NEUE_IT_AUTHOR,Nadja Tellenbach · Rechnungswesen bei FinTech AG,Nadja Tellenbach · Accounting at FinTech AG
RECON_Q2B_NEUE_IT_BODY,"Endlich. Nach Wochen des Wartens haben wir die IT gewechselt. Ab jetzt macht ⟦Bit & Bürli GmbH⟧ unseren Support, und die rufen tatsächlich zurück. Fühlt sich an wie ein neues Zeitalter.","Finally. After weeks of waiting we have switched IT providers. From now on ⟦Bit & Bürli GmbH⟧ handles our support, and they actually call back. Feels like a new era."
RECON_Q2C_KATZE_TITLE,Katzen-Smalltalk,Cat small talk
RECON_Q2C_KATZE_AUTHOR,Nadja Tellenbach · Rechnungswesen bei FinTech AG,Nadja Tellenbach · Accounting at FinTech AG
RECON_Q2C_KATZE_BODY,Homeoffice-Alltag: ⟦Mimi hat den ganzen Vormittag auf meiner Tastatur geschlafen⟧ und will jetzt auch noch ins Meeting. Prioritäten einer Bürokatze.,Working from home: ⟦Mimi slept on my keyboard all morning⟧ and now she wants to join the meeting too. The priorities of an office cat.
RECON_Q2D_TEAMFOTO_TITLE,Team-Foto (Mittagessen),Team photo (lunch)
RECON_Q2D_TEAMFOTO_AUTHOR,Nadja Tellenbach · Rechnungswesen bei FinTech AG,Nadja Tellenbach · Accounting at FinTech AG
RECON_Q2D_TEAMFOTO_BODY,Team-Zmittag mit den besten Kolleginnen und Kollegen. Solche Tage machen den Job aus.,Team lunch with the best colleagues. Days like this are what make the job.
RECON_Q2X_ALT_TITLE,Alter Beitrag (beendetes Projekt),Old post (completed project)
RECON_Q2X_ALT_AUTHOR,FinTech AG · Unternehmensseite · vor 3 Jahren,FinTech AG · company page · 3 years ago
RECON_Q2X_ALT_BODY,Rückblick auf ein starkes Jahr. Mit dem Abschluss von ⟦Projekt Atlas⟧ haben wir unsere Kernbanking-Migration erfolgreich beendet. Danke an alle Beteiligten.,Looking back on a strong year. With the completion of ⟦Project Atlas⟧ we successfully finished our core banking migration. Thanks to everyone involved.
RECON_Q2D_WHITEBOARD_TITLE,Whiteboard im Hintergrund: interner Projektname,Whiteboard in the background: internal project name
RECON_Q2D_WHITEBOARD_REVEAL,Foto zoomen,Zoom into photo
RECON_Q2D_WHITEBOARD_AUTHOR,Team-Foto · herangezoomt,Team photo · zoomed in
RECON_Q2D_WHITEBOARD_BODY,"Im Hintergrund, halb verdeckt von einem Kollegen, ein Whiteboard. Oben lesbar steht ⟦HELVETIA⟧. Darunter eine Tabelle mit Wochennummern, in der Spalte KW 24 ist eine Zeile grün markiert, daneben steht Go-Live?.","In the background, half hidden behind a colleague, a whiteboard. Readable at the top: ⟦HELVETIA⟧. Below it a table of week numbers; in the column for week 24 one row is marked green, next to it the words Go live?."
RECON_Q5_PRAKTIKANT_TITLE,Praktikant: erster Arbeitstag,Intern: first day at work
RECON_Q5_PRAKTIKANT_AUTHOR,kevin_broesmeli · FinTech AG,kevin_broesmeli · FinTech AG
RECON_Q5_PRAKTIKANT_BODY,"Tag 1 im neuen Job. So ein cooler Arbeitsplatz, ich freu mich mega. Danke an meinen Onboarding-Buddy fürs Setup, meine Adresse ist schon eingerichtet. #praktikum #firstday #fintech","Day 1 at the new job. Such a cool workplace, I am so excited. Thanks to my onboarding buddy for the setup, my address is already up and running. #internship #firstday #fintech"
RECON_Q5X_CAFE_TITLE,"Story: Café verlinkt, Standort geteilt","Story: café tagged, location shared"
RECON_Q5X_CAFE_AUTHOR,kevin_broesmeli · Story,kevin_broesmeli · Story
RECON_Q5X_CAFE_BODY,"Bester Kaffee der Stadt gefunden. Verlinke mal den Laden hier, ⟦Standort ist getaggt⟧. Kommt vorbei.","Found the best coffee in town. Tagging the place here, ⟦location is tagged⟧. Come by."
RECON_Q5_SCHEMA_TITLE,Mail-Schema am Bildschirm sichtbar,Mail schema visible on screen
