keys,de,en
BRIEFING_CHANNEL_TITLE,● LIVE · SECURE CHANNEL · %s,● LIVE · SECURE CHANNEL · %s
BRIEFING_VIDEO_LIVE,● LIVE,● LIVE
BRIEFING_VIDEO_SUBTITLE,VIDEO FEED · ENCRYPTED,VIDEO FEED · ENCRYPTED
BRIEFING_TASK_TITLE,▲ TASK ASSIGNED,▲ TASK ASSIGNED
BRIEFING_MISSION_LINE,MISSION · %s,MISSION · %s
BRIEFING_REWARD_LINE,Belohnung: %s · Zeitlimit: %d Züge,Reward: %s · Time limit: %d turns
BRIEFING_ADVANCE_BUTTON,▶ Akzeptieren,▶ Accept
DIALOG_HINT_CLICK,▼ klicken für weiter,▼ click to continue
OSCHROME_APP_NAME,DarkMail OS,DarkMail OS
OSCHROME_SECURE,● SECURE,● SECURE
OSCHROME_MISSION_TAG,MISSION,MISSION
OSCHROME_TURNS,ZÜGE %d/%d,TURNS %d/%d
OSCHROME_DOSSIER_TITLE,▲ MISSIONS-DOSSIER,▲ MISSION DOSSIER
OSCHROME_DOSSIER_CLOSE,[ Klicken zum Schliessen ],[ Click to close ]
SPEAR_PHASE_RECON,Recon,Recon
SPEAR_PHASE_MAIL,Mail,Mail
SPEAR_PHASE_RESOLVE,Resolve,Resolve
MAIL_BAR_SUSPICION,MISSTRAUEN,SUSPICION
MAIL_BAR_PRESSURE,HANDLUNGSDRUCK,PRESSURE
MAIL_BAR_TARGET_LOW,Ziel ≤,Target ≤
MAIL_BAR_TARGET_HIGH,Ziel ≥,Target ≥
MAIL_PREVIEW_TITLE,▤ MAILVERLAUF,▤ MAIL THREAD
MAIL_PREVIEW_FROM_LABEL,Von:,From:
MAIL_PREVIEW_TO_LABEL,An:,To:
MAIL_PREVIEW_SUBJECT_LABEL,Betreff:,Subject:
MAIL_SENDER_YOU,▸ Du,▸ You
MAIL_SENDER_HANNES,◂ Hannes Zinsli,◂ Hannes Zinsli
MAIL_BOSS_TITLE,● VERBINDUNG · AUFTRAGGEBER,● CONNECTION · HANDLER
MAIL_HAND_TITLE,DECK,DECK
MAIL_COMBO_TAG,KOMBO,COMBO
MAIL_PROBE_HINT,löst Antwort aus,triggers a reply
MAIL_SEND,Mail senden ▶,Send mail ▶
MAIL_DRAFT_COUNT,Mail %d/3,Mail %d/3
MAIL_END_TURN,Zug überspringen,Skip turn
SETTINGS_TITLE,EINSTELLUNGEN,SETTINGS
SETTINGS_MASTER,Gesamtlautstärke,Master volume
SETTINGS_MUSIC,Musik,Music
SETTINGS_SFX,Soundeffekte,Sound effects
SETTINGS_FULLSCREEN,Vollbild,Fullscreen
SETTINGS_RESET,Zurücksetzen,Reset
SETTINGS_CLOSE,Schliessen,Close
MENU_LEVELS,Level,Levels
MENU_SETTINGS,Einstellungen,Settings
MENU_QUIT,Beenden,Quit
MENU_BACK,Zurück,Back
SETTINGS_LANGUAGE,Sprache,Language
RECON_WINDOW_TITLE,Browser,Browser
RECON_INTERCEPT,⇅ INTERCEPT,⇅ INTERCEPT
RECON_SWEEP_TITLE,RECON // OSINT-SWEEP,RECON // OSINT SWEEP
RECON_DECK,DECK %d/%d,DECK %d/%d
RECON_COLLECTED_EMPTY,Eingesammelt: (noch nichts),Collected: (nothing yet)
RECON_COLLECTED,Eingesammelt (%d): %s,Collected (%d): %s
RECON_ADVANCE,RECON ABSCHLIESSEN ▸,FINISH RECON ▸
RECON_LINKBOOK_TITLE,LinkBook — Recherche,LinkBook — Research
BRIEF_SPEAKER_DIREKTOR,Direktor,Director
SPEAR_BRIEF_TARGET,H. Zinsli · CEO,H. Zinsli · CEO
SPEAR_BRIEF_MISSION,"Phishe Hannes Zinsli, CEO der FinTech AG","Phish Hannes Zinsli, CEO of FinTech AG"
SPEAR_BRIEF_REWARD,Zugang zum internen Netzwerk,Access to the internal network
SPEAR_BRIEF_LINE_1,"Setz dich, Agent. Die FinTech AG hat ein Netzwerk, an das wir ran müssen. Der einfachste Weg rein ist ein Mensch, der auf das Falsche klickt.","Sit down, agent. FinTech AG has a network we need to get into. The easiest way in is a person who clicks the wrong thing."
SPEAR_BRIEF_LINE_2,"Dein Ziel: Hannes Zinsli, CEO. Schreibt am Wochenende seine eigenen Mails. Wenn jemand klickt, dann er.","Your target: Hannes Zinsli, CEO. Writes his own mail at the weekend. If anyone clicks, it is him."
SPEAR_BRIEF_LINE_3,"Bevor du ihm schreibst, willst du wissen, wer er ist. LinkedIn, Stellenanzeigen. Die Firma postet mehr, als ihr lieb wäre. Sammle alles, was du findest. Jedes Detail wird zu Munition.","Before you write to him you want to know who he is. LinkedIn, job ads. The company posts more than is good for it. Collect everything you find. Every detail becomes ammunition."
SPEAR_BRIEF_LINE_4,"Dann baust du die Mail zusammen. Zu viel Druck und er meldet dich. Zu wenig und er löscht dich. Fünf Versuche, bevor sich seine IT wundert. Mach den Job.",Then you put the mail together. Too much pressure and he reports you. Too little and he deletes you. Five attempts before his IT gets suspicious. Do the job.
BADUSB_BRIEF_TARGET,FinTech AG · Vor Ort,FinTech AG · On site
BADUSB_BRIEF_MISSION,Infiltriere die FinTech AG vor Ort,Infiltrate FinTech AG on site
BADUSB_BRIEF_LINE_1,Der Phishing-Versuch ist aufgeflogen. Hannes' IT ist jetzt wach. Also machen wir es auf die harte Tour.,The phishing attempt was blown. Hannes' IT team is awake now. So we do it the hard way.
BADUSB_BRIEF_LINE_2,"Du gehst rein. Physisch. Ins Gebäude der FinTech AG, mitten am Tag.","You are going in. Physically. Into the FinTech AG building, in the middle of the day."
BADUSB_BRIEF_LINE_3,"Kein Ausweis, keine Einladung. Du kommst über die Menschen rein: Rezeption, Aufzug, eine offen gehaltene Tür. Freundlichkeit ist deine Waffe.","No badge, no invitation. You get in through the people: reception, the lift, a door held open. Politeness is your weapon."
BADUSB_BRIEF_LINE_4,Bring diesen USB-Stick an einen unbeaufsichtigten Rechner im Inneren. Steck ihn ein. Den Rest erledigt er selbst.,Get this USB stick to an unattended computer inside. Plug it in. It does the rest by itself.
RECON_TAB_COMPANY,Firmenseite,Company site
