keys,de,en
BADUSB_DLG_10_NPC,"Guten Tag, kann ich Ihnen helfen? Sie wirken völlig außer Atem!","Good day, can I help you? You look completely out of breath!"
BADUSB_DLG_10_C1,"Lassen Sie mich durch, sonst werde ich zusehen, wie Sie gefeuert werden!","Let me through, or I will watch you get fired!"
BADUSB_DLG_10_C2,Ich bin von der externen Security und bin zu spät für mein Meeting!,I am from external security and I am late for my meeting!
BADUSB_DLG_11_NPC,"Oh je, beruhigen Sie sich. Mit wem haben Sie das Meeting denn?","Oh dear, calm down. Who is your meeting with?"
BADUSB_DLG_11_C1,"Herrn Müller... Dritter Stock, richtig?","Mr Müller... third floor, right?"
BADUSB_DLG_11_C2,Das geht Sie nichts an!,That is none of your business!
BADUSB_DLG_12_NPC,"Genau, dritter Stock! Beeilen Sie sich.","Exactly, third floor! Do hurry."
BADUSB_DLG_12_C1,Vielen Dank!,Thank you very much!
BADUSB_DLG_20_NPC,Guten Tag. Haben Sie einen Termin? Sie tragen keinen Besucherausweis.,Good day. Do you have an appointment? You are not wearing a visitor badge.
BADUSB_DLG_20_C1,Ich bin der neue Chef. Hat man Sie nicht informiert?,I am the new boss. Were you not informed?
BADUSB_DLG_20_C2,"Ich wurde angestellt, um die Sicherheit in diesem Unternehmen zu überprüfen.",I was hired to audit the security of this company.
BADUSB_DLG_21_NPC,Ein Audit? Davon weiß ich absolut nichts.,An audit? I know absolutely nothing about that.
BADUSB_DLG_21_C1,"Wie ich sehe, lesen Sie Ihre Mails nicht. Das ist ein Sicherheitsrisiko. Dann bräuchte ich einmal Ihren Namen und den Ihres Vorgesetzten.",I see you do not read your mail. That is a security risk. In that case I will need your name and your supervisor's.
BADUSB_DLG_21_C2,"Oh, bitte rufen Sie niemanden an, ich muss unangekündigt bleiben!","Oh, please do not call anyone, I have to stay unannounced!"
BADUSB_DLG_22_NPC,"Oh... warten Sie, das ist nicht nötig! Ich erinnere mich dunkel an die Mail. Es ist alles in Ordnung, gehen Sie ruhig durch!","Oh... wait, that will not be necessary! I vaguely remember the mail. It is all fine, go right through!"
BADUSB_DLG_22_C1,Vielen Dank. Achten Sie künftig besser auf interne Mitteilungen.,Thank you. Do pay closer attention to internal notices in future.
BADUSB_DLG_30_NPC,Moment mal... Sie sind doch vorhin mit mir im Aufzug gefahren. Arbeiten Sie nicht in der HR-Abteilung? Was machen Sie hier im IT-Büro?,Hold on... you rode the lift with me earlier. Do you not work in HR? What are you doing here in the IT office?
BADUSB_DLG_30_C1,"Ich bin versetzt worden, das ist mein neuer Arbeitsplatz.","I have been transferred, this is my new desk."
BADUSB_DLG_30_C2,Ich habe ein wichtiges Meeting mit der IT-Leitung!,I have an important meeting with the head of IT!
BADUSB_DLG_31_NPC,Mit der IT-Leitung... Was muss die HR mit der IT-Leitung besprechen.,With the head of IT... what would HR need to discuss with the head of IT.
BADUSB_DLG_31_C1,Das darf ich Ihnen leider nicht sagen. Wenn Sie mich nun entschuldigen würden.,I am afraid I cannot tell you that. Now if you would excuse me.
BADUSB_DLG_31_C2,Was geht Sie das an?,What business is that of yours?
BADUSB_DLG_32_NPC,Oh nein ich komme noch zu spät. Schönen Tag.,"Oh no, I am going to be late. Have a good day."
BADUSB_DLG_32_C1,"Vielen Dank, Ihnen auch!","Thank you, you too!"
BADUSB_STORY_0_TITLE,Schritt 1: Die Rezeption,Step 1: Reception
BADUSB_STORY_0_TEXT,"Du hast die Empfangsperson unter Druck gesetzt oder mit falscher Autorität getäuscht. Selbst geschultes Personal kann in Stresssituationen Sicherheitsrichtlinien vergessen. Ausweise müssen immer und ohne Ausnahme kontrolliert werden, egal wer vor einem steht.","You put the receptionist under pressure or fooled them with false authority. Even trained staff can forget security policy under stress. Badges must be checked always and without exception, no matter who is standing there."
